# ※ 本文件為教學用合成範例,情節與人物純屬虛構,非真實個案,不得作為法律依據。（本行為註解列,匯入試算表時請略過此列。）
公司代號,年度,季別,報表日期,營業收入,營業成本,稅前淨利,應納稅額,金額單位,產業別
S1001,2022,Q1,2022-03-31,1683913,1452413,-99519,0,千元,半導體
S1001,2022,Q4,2022/12/31,185026,137024,27647,5529,千元,半導體
S1001,2023,Q1,3/31/2023,2323940000,1988889000,178075000,35615000,元,半導體
S1001,2023,Q3,112.09.30,1955519000,1488937000,189883000,37976000,元,半導體
S1001,2023,Q4,20231231,2111088,1182155,578712,115742,千元,半導體
S1001,2024,Q3,2024-09-30,3461405,2017799,603147,120629,千元,半導體
S1002,2022,Q1,2022/3/31,７０２３４７,５８７９２０,８１１７７,,千元,食品
S1002,2022,Q2,6/30/2022,2673868,1647718,912990,182598,千元,食品
S1002,2022,Q3,111.09.30,602159,472800,-51156,0,千元,食品
S1002,2022,Q4,20221231,1022302,588507,407116,81423,千元,食品
S1002,2023,Q1,3/31/2023,2347228000,1526339000,445071000,89014000,元,食品
S1002,2024,Q3,2024/9/30,833321,745215,41006,8201,千元,食品
S1003,2022,Q1,3/31/2022,1683943000,952600000,-409377000,0,元,紡織
S1003,2022,Q2,111.06.30,1765068,1530162,125556,25111,千元,紡織
S1003,2022,Q3,20220930,1012164,817598,104664,20932,千元,紡織
S1003,2022,Q4,2022-12-31,1815601,1302261,294380,58876,千元,紡織
S1003,2023,Q1,2023/3/31,1306624,1029831,159523,31904,千元,紡織
S1003,2023,Q2,6/30/2023,1090890,942251,137801,27560,千元,紡織
S1003,2024,Q1,113.03.31,2439073,2174807,150930,30186,千元,紡織
S1003,2024,Q3,20240930,1752645,1284634,440268,88053,千元,紡織
S1003,2024,Q4,2024-12-31,140152,91719,45026,9005,千元,紡織
S1004,2022,Q1,2022/3/31,2502535,,306860,61372,千元,營建
S1004,2022,Q4,12/31/2022,840661,750085,66983,13396,千元,營建
